ANO;MES;MONTH_;QUINCENA;TRIMESTRE;MARCA;LINEA;FAMILIA;MODELO;SERVICIO;SEGMENTO;TAMANO;OBJETIVO;OBJECTIVE;TIPO;COMBUSTIBLE;STATUS;NACIONAL_IMPORT;DEPARTAMENTO;CANTIDAD
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;CAPTIVA SPORT;CAPTIVA;2010;Particular;SUV;B;Medio;Medium;;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;MAZDA;CX-7;CX-7;2010;Particular;SUV;C;Medio;Medium;;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;NON PLUS ULTRA;NPU 6-150;NPU 6-150;2010;Público;Buses;;;;;;CBU;IMPORTADO;Boyaca;1
2011;1;MARCH;Primera Quincena;1Q;ZOTYE;DADI XS6400;;2009;Particular;INCONSISTENCIA;;;;;;CBU;IMPORTADO;Antioquia;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;H100 PORTER;H 100;2010;Público;Camiones;B;;;;;CBU;IMPORTADO;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;AVEO;AVEO;2010;Particular;Automóvil;B;Bajo;Low;SEDAN;;CBU;IMPORTADO;Santander;1
2011;1;MARCH;Primera Quincena;1Q;MAZDA;2;2;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;IMPORTADO;Magdalena;1
2011;1;MARCH;Primera Quincena;1Q;MAZDA;2;2;2010;Particular;Automóvil;B;Medio;Medium;HATCHBACK;;CBU;NACIONAL;Caldas;1
2011;1;MARCH;Primera Quincena;1Q;RENAULT;TWINGO ACCESS PLUS;TWINGO;2010;Particular;Automóvil;A;Medio;Medium;COUPE;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;HYUNDAI;H1512D-A;H 1;2010;Público;Van;B;Medio;Medium;PASAJEROS;;CBU;NACIONAL;Bogota D.C.;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;SPARK GO;SPARK;2010;Particular;Automóvil;A;Bajo;Low;HATCHBACK;;CBU;IMPORTADO;Valle del Cauca;1
2011;1;MARCH;Primera Quincena;1Q;CHEVROLET;SPARK GO;SPARK;2010;Particular;Automóvil;A;Bajo;Low;SEDAN;;CBU;IMPORTADO;Santander;1
